PK Id_modulo,Marca,Modelo,Potencia,Voc,Isc,Vmp,Imp
1,JA Solar,JAM66D45-605/LB,605,47.9,16,39.6,15.28
2,JA Solar,JAM66D45-610/LB,610,48.1,16.05,39.77,15.34
3,JA Solar,JAM66D45-615/LB,615,48.3,16.1,39.96,15.39
4,JA Solar,JAM66D45-620/LB,620,48.5,16.13,40.21,15.42
5,JA Solar,JAM66D45-625/LB,625,48.7,16.15,40.45,15.45
6,JA Solar,JAM66D45-630/LB,630,48.9,16.18,40.7,15.48
7,JA Solar,JAM66D456-695/LB,695,48,18.39,40.22,17.28
8,JA Solar,JAM66D456-700/LB,700,48.2,18.43,40.42,17.32
9,JA Solar,JAM66D456-705/LB,705,48.4,18.47,40.61,17.36
10,JA Solar,JAM66D456-710/LB,710,48.6,18.51,40.8,17.4
11,JA Solar,JAM66D456-715/LB,715,48.8,18.55,41,17.44
12,JA Solar,JAM66D456-720/LB,720,49,18.59,41.19,17.48
13,Longi Solar,LR7-72HVHF-640M,640,53.7,15.13,44.36,14.43
14,Longi Solar,LR7-72HVHF-645M,645,53.8,15.21,44.46,14.51
15,Longi Solar,LR7-72HVHF-650M,650,53.9,15.29,44.56,14.59
16,Longi Solar,LR7-72HVHF-655M,655,54,15.37,44.66,14.67
17,Longi Solar,LR7-72HVHF-660M,660,54.1,15.45,44.76,14.75
18,Longi Solar,LR7-72HVHF-665M,665,54.2,15.53,44.86,14.83
19,Longi Solar,LR7-72HVHF-670M,670,54.3,15.61,44.96,14.91
